from_defect_id,to_defect_id
4458,4460
6796,6795
5935,5932
8515,8693
8674,8673
6472,6537
9192,9196
9397,9476
8467,8461
8590,8807
1516,1342
8352,9325
8517,8467
4783,3545
9471,9472
3202,3217
6924,6921
4220,4190
4190,3736
2764,2997
5751,5753
9196,9238
8962,8961
7310,5773
5977,5975
7556,7699
7224,7028
2575,2576
3389,4715
2090,2091
6820,6821
10403,7881
6066,6067
3426,3427
6539,6538
5929,6416
11219,10881
2368,2992
3427,3428
9444,9476
6067,6068
7323,5773
9055,8849
8502,8505
4697,2844
5105,5194
8859,8858
6315,6321
9859,9857
5680,6366
7402,3239
8338,8414
4914,5729
9450,9445
7324,5773
8786,8794
3170,3185
4151,2421
7551,7552
4505,4539
9120,9329
9047,9146
6318,6321
9360,9369
6332,6334
9546,9174
6419,6423
2237,2241
5696,11475
7266,7281
8908,9008
12558,12859
5218,7187
9381,9364
11683,12015
10488,4840
2781,2796
2420,2443
5823,5824
7244,5773
3457,3540
9498,9589
3343,3203
4317,4313
2619,2622
7329,7330
6221,6239
6795,2627
3914,4109
4058,4049
7942,7966
4097,4169
6307,6308
9430,9440
6317,6379
6180,6138
6061,6063
6078,6462
7325,5773
8339,8414
9429,9440
2288,2327
1,3405
9440,9441
6974,7002
9054,9066
11067,11179
965,1106
5752,5753
10295,10294
194,221
11733,11998
5907,5909
4155,4172
553,3817
6062,6063
2239,2241
7190,5773
8489,8490
12845,13211
9454,9450
7315,5773
2565,2694
6308,6309
4814,5868
7306,5773
